"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2264","should have empty fields by default on the login page","webkit","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","3138","test5","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2451","should show an error message with incorrect login credentials","webkit","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","4631","test2","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","30188","test","chromium","2026-03-12","broken","2026-03-12","","amazon.spec.js","",""
"","2210","should handle CapsLock state while entering the username","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","2515","localhost 3000 contact test for jaswanth@gmail.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","14329","test4","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","3659","contact page title","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","3989","test3","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","5236","contact page title","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","4072","test5","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2522","should handle CapsLock state while entering the username","webkit","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","4931","contact page submit","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2622","contact page submit","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","5142","localhost 3000 contact test for sony@gmail.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2814","should log in successfully with valid credentials","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","5611","should log in successfully with valid credentials","webkit","2026-03-12","failed","2026-03-12","","testautomationsite1.spec.js","",""
"","4051","test","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2594","test","firefox","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3613","localhost 3000 contact test for sony@gmail.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","3148","should log in successfully with valid credentials","firefox","2026-03-12","failed","2026-03-12","","testautomationsite1.spec.js","",""
"","3623","localhost 3000 contact test for jaswanth@gmail.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","8873","test","firefox","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","3286","test2","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","4192","localhost 3000 contact test for jaswanth@gmail.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","3565","contact page submit","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","4149","test6","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","0","has title","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","4454","test","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2144","should handle CapsLock state while entering the username","firefox","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","5133","should show an error message with incorrect login credentials","firefox","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","4908","test6","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2586","contact page title","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","15668","test4","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","4188","test5","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2498","test2","chromium","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","2408","should have empty fields by default on the login page","firefox","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","5453","test3","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","1","has title","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","2589","localhost 3000 contact test for sony@gmail.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2438","test","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","7076","test6","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","5026","test3","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","17244","test4","webkit","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","1945","should have empty fields by default on the login page","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","2041","should show an error message with incorrect login credentials","chromium","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","5609","test","firefox","2026-03-12","passed","2026-03-12","","expandtestsite2.spec.js","",""
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3871","test","webkit","2026-03-12","passed","2026-03-12","","testautomationsite1.spec.js","",""
"","10273","test","webkit","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","0","has title","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
