"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","localhost 3000 contact test for jaswanth@gmail.com","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","526","should show an error message with incorrect login credentials","chromium","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","contact page submit","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1412","test5","firefox","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","2258","should log in successfully with valid credentials","webkit","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","366","test2","chromium","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","11080","test4","chromium","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","0","has title","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1187","test3","firefox","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","761","should show an error message with incorrect login credentials","firefox","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","get started link","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","711","should handle CapsLock state while entering the username","firefox","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","has title","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","contact page title","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","579","test5","chromium","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","944","test","firefox","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","30026","test","firefox","2026-03-13","broken","2026-03-13","","amazon.spec.js","",""
"","0","localhost 3000 contact test for sony@gmail.com","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","contact page title","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","813","should handle CapsLock state while entering the username","webkit","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","contact page submit","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1189","test3","webkit","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","1220","test6","webkit","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","496","should handle CapsLock state while entering the username","chromium","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","localhost 3000 contact test for sony@gmail.com","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","528","should have empty fields by default on the login page","chromium","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","11493","test4","firefox","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","0","localhost 3000 contact test for jaswanth@gmail.com","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","534","test6","chromium","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","980","test","webkit","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","localhost 3000 contact test for jaswanth@gmail.com","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","674","should have empty fields by default on the login page","firefox","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","get started link","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","8173","test","webkit","2026-03-13","passed","2026-03-13","","amazon.spec.js","",""
"","816","test","chromium","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","882","test2","webkit","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","913","should log in successfully with valid credentials","chromium","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","757","should have empty fields by default on the login page","webkit","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","0","contact page title","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","531","test","chromium","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","2179","should log in successfully with valid credentials","firefox","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","1","has title","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","localhost 3000 contact test for sony@gmail.com","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","926","test6","firefox","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","633","test3","chromium","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","0","contact page submit","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","get started link","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","872","should show an error message with incorrect login credentials","webkit","2026-03-13","passed","2026-03-13","","testautomationsite1.spec.js","",""
"","4003","test","chromium","2026-03-13","passed","2026-03-13","","amazon.spec.js","",""
"","13036","test4","webkit","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","1798","test","firefox","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","763","test2","firefox","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","1274","test","webkit","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
"","1286","test5","webkit","2026-03-13","passed","2026-03-13","","expandtestsite2.spec.js","",""
